"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ABW","(U) ","Aruba",
"(U) ","AFG","(U) ","Afghanistan",
"(U) ","AGO","(U) ","Angola",
"(U) ","AIA","(U) ","Anguilla",
"(U) ","ALB","(U) ","Albania",
"(U) ","AND","(U) ","Andorra",
"(U) ","ARE","(U) ","United Arab Emirates",
"(U) ","ARG","(U) ","Argentina",
"(U) ","ARM","(U) ","Armenia",
"(U) ","ASM","(U) ","American Samoa",
"(U) ","ATA","(U) ","Antarctica",
"(U) ","ATF","(U) ","French Southern and Antarctic Lands",
"(U) ","ATG","(U) ","Antigua and Barbuda",
"(U) ","AUS","(U) ","Australia",
"(U) ","AUT","(U) ","Austria",
"(U) ","AX1","(U) ","Unknown",
"(U) ","AX2","(U) ","Guantanamo Bay Naval Base",
"(U) ","AX3","(U) ","Entity 6",
"(U) ","AZE","(U) ","Azerbaijan",
"(U) ","BDI","(U) ","Burundi",
"(U) ","BEL","(U) ","Belgium",
"(U) ","BEN","(U) ","Benin",
"(U) ","BES","(U) ","Bonaire, Sint Eustatius, and Saba",
"(U) ","BFA","(U) ","Burkina Faso",
"(U) ","BGD","(U) ","Bangladesh",
"(U) ","BGR","(U) ","Bulgaria",
"(U) ","BHR","(U) ","Bahrain",
"(U) ","BHS","(U) ","Bahamas, The",
"(U) ","BIH","(U) ","Bosnia and Herzegovina",
"(U) ","BLM","(U) ","Saint Barthelemy",
"(U) ","BLR","(U) ","Belarus",
"(U) ","BLZ","(U) ","Belize",
"(U) ","BMU","(U) ","Bermuda",
"(U) ","BOL","(U) ","Bolivia",
"(U) ","BRA","(U) ","Brazil",
"(U) ","BRB","(U) ","Barbados",
"(U) ","BRN","(U) ","Brunei",
"(U) ","BTN","(U) ","Bhutan",
"(U) ","BVT","(U) ","Bouvet Island",
"(U) ","BWA","(U) ","Botswana",
"(U) ","CAF","(U) ","Central African Republic",
"(U) ","CAN","(U) ","Canada",
"(U) ","CCK","(U) ","Cocos (Keeling) Islands",
"(U) ","CHE","(U) ","Switzerland",
"(U) ","CHL","(U) ","Chile",
"(U) ","CHN","(U) ","China",
"(U) ","CIV","(U) ","Côte d’Ivoire",
"(U) ","CMR","(U) ","Cameroon",
"(U) ","COD","(U) ","Congo (Kinshasa)",
"(U) ","COG","(U) ","Congo (Brazzaville)",
"(U) ","COK","(U) ","Cook Islands",
"(U) ","COL","(U) ","Colombia",
"(U) ","COM","(U) ","Comoros",
"(U) ","CPT","(U) ","Clipperton Island",
"(U) ","CPV","(U) ","Cabo Verde",
"(U) ","CRI","(U) ","Costa Rica",
"(U) ","CUB","(U) ","Cuba",
"(U) ","CUW","(U) ","Curaçao",
"(U) ","CXR","(U) ","Christmas Island",
"(U) ","CYM","(U) ","Cayman Islands",
"(U) ","CYP","(U) ","Cyprus",
"(U) ","CZE","(U) ","Czechia",
"(U) ","DEU","(U) ","Germany",
"(U) ","DGA","(U) ","Diego Garcia",
"(U) ","DJI","(U) ","Djibouti",
"(U) ","DMA","(U) ","Dominica",
"(U) ","DNK","(U) ","Denmark",
"(U) ","DOM","(U) ","Dominican Republic",
"(U) ","DZA","(U) ","Algeria",
"(U) ","ECU","(U) ","Ecuador",
"(U) ","EGY","(U) ","Egypt",
"(U) ","ERI","(U) ","Eritrea",
"(U) ","ESH","(U) ","Western Sahara",
"(U) ","ESP","(U) ","Spain",
"(U) ","EST","(U) ","Estonia",
"(U) ","ETH","(U) ","Ethiopia",
"(U) ","FIN","(U) ","Finland",
"(U) ","FJI","(U) ","Fiji",
"(U) ","FLK","(U) ","Falkland Islands (Islas Malvinas)",
"(U) ","FRA","(U) ","France",
"(U) ","FRO","(U) ","Faroe Islands",
"(U) ","FSM","(U) ","Micronesia, Federated States of",
"(U) ","GAB","(U) ","Gabon",
"(U) ","GBR","(U) ","United Kingdom",
"(U) ","GEO","(U) ","Georgia",
"(U) ","GGY","(U) ","Guernsey",
"(U) ","GHA","(U) ","Ghana",
"(U) ","GIB","(U) ","Gibraltar",
"(U) ","GIN","(U) ","Guinea",
"(U) ","GLP","(U) ","Guadeloupe",
"(U) ","GMB","(U) ","Gambia, The",
"(U) ","GNB","(U) ","Guinea-Bissau",
